MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,MP_Mode,Length,Width,Draft,Cargo,TransceiverClass,VesselID
564702000,2025-09-05T15:39:28,18.2328482652882,-64.9822490305291,0,0,2.0912937790851847,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:28,18.258086090843584,-64.97743131616159,0,0,-1.8224799811079373,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:29,18.254514678004604,-64.97604213249714,0,0,0.03177063507585601,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:29,18.232859128685256,-64.98225543636963,0,0,2.0916925863615075,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:29,18.258074002380052,-64.97743473112816,0,0,-1.8178463920316252,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:30,18.254514815667225,-64.97603346165342,0,0,0.03566622650724623,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:30,18.232866313924998,-64.98225981678821,0,0,2.0927945629114273,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:30,18.258066007806903,-64.97743686082681,0,0,-1.8096680738372746,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:31,18.25451504159494,-64.97602044897204,0,0,0.037817827357189145,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:31,18.232877086594144,-64.98226635849181,0,0,2.0937334760239574,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:31,18.258053926380306,-64.97744024094472,0,0,-1.8049094294353365,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:32,18.254515213779214,-64.97601176943571,0,0,0.03978695656903074,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:32,18.232884324764008,-64.98227056112242,0,0,2.0950206827220064,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:32,18.25804588452762,-64.97744243157602,0,0,-1.800170725426811,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:39:33,18.254515514326826,-64.97599870755967,0,0,0.04016236075087996,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:39:33,18.232895153108714,-64.9822769108317,0,0,2.0954801680717017,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:39:33,18.258033862777314,-64.97744546963612,0,0,-1.7988105431725507,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
